Feature,Coefficient,Absolute Coefficient,Rank,Effect
Glucose,1.1441512736875823,1.1441512736875823,1,Positive
BMI,0.7138934066356617,0.7138934066356617,2,Positive
Pregnancies,0.37317821047634997,0.37317821047634997,3,Positive
DiabetesPedigreeFunction,0.2555267466921689,0.2555267466921689,4,Positive
BloodPressure,-0.19763683090179177,0.19763683090179177,5,Negative
Age,0.18417898610631533,0.18417898610631533,6,Positive
Insulin,-0.12730823048049886,0.12730823048049886,7,Negative
SkinThickness,0.06653497138971803,0.06653497138971803,8,Positive
